episode_id,seed,condition,controller,detection_correct,detection_present,localization_error_m,task_complete,collision_free,safe_completion,goal_error_m,obstacle_contact_ticks,path_length_m,ticks,replans,semantic_wakes,detector_latency_ms
seed-6204-no_obstacle-rgb_only,6204,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09787155140913788,0,2.2983006665677417,134,0,0,0.35
seed-6204-no_obstacle-rgbd_motion,6204,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09787155140913788,0,2.2983006665677417,134,0,0,0.72
seed-6204-opaque-hierarchical,6204,OPAQUE,HIERARCHICAL,True,True,0.01600045628523831,True,True,True,0.09884684740891264,0,2.5491511535666556,274,0,0,0.72
seed-6204-opaque-rgb_only,6204,OPAQUE,RGB_ONLY,True,True,0.012267747903169195,True,True,True,0.0980743383410782,0,2.550120489531442,274,0,0,0.35
seed-6204-opaque-rgbd_motion,6204,OPAQUE,RGBD_MOTION,True,True,0.01600045628523831,True,True,True,0.09884684740891264,0,2.5491511535666556,274,0,0,0.72
seed-6205-eval_x2-hierarchical,6205,EVAL_X2,HIERARCHICAL,True,True,0.019818042113981416,True,True,True,0.09843887750735296,0,2.5385668730359248,274,0,0,0.72
seed-6205-eval_x2-rgb_only,6205,EVAL_X2,RGB_ONLY,False,False,,False,False,False,1.323445074593745,265,1.1265201691076052,300,0,0,0.35
seed-6205-eval_x2-rgbd_motion,6205,EVAL_X2,RGBD_MOTION,True,True,0.019818042113981416,True,True,True,0.09843887750735296,0,2.5385668730359248,274,0,0,0.72
seed-6205-no_obstacle-hierarchical,6205,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09789325182199163,0,2.2989769471601966,134,0,0,0.72
seed-6205-no_obstacle-rgb_only,6205,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09789325182199163,0,2.2989769471601966,134,0,0,0.35
seed-6205-no_obstacle-rgbd_motion,6205,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09789325182199163,0,2.2989769471601966,134,0,0,0.72
seed-6205-opaque-hierarchical,6205,OPAQUE,HIERARCHICAL,True,True,0.019818042113981416,True,True,True,0.09843887750735296,0,2.5385668730359248,274,0,0,0.72
seed-6205-opaque-rgb_only,6205,OPAQUE,RGB_ONLY,True,True,0.013569212179956125,True,True,True,0.09851246899137812,0,2.538450706618949,274,0,0,0.35
seed-6205-opaque-rgbd_motion,6205,OPAQUE,RGBD_MOTION,True,True,0.019818042113981416,True,True,True,0.09843887750735296,0,2.5385668730359248,274,0,0,0.72
