bootstrap_draws,candidate,comparator,contrast,effective_seed_n,estimate,metric,q025,q975,seed_cluster_sha256
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__EPISODIC_ONLY,20,-0.66666667,late_trigger_ticks,-0.66666667,-0.66666667,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__EPISODIC_ONLY,20,-0.04166667,wasted_triggers,-0.04166667,-0.04166667,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__EPISODIC_ONLY,20,-1.62928063,budget_cost_proxy,-1.62928065,-1.62928062,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_EPISODIC,20,0.0,completion,0.0,0.0,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_EPISODIC,20,0.0,progress,0.0,0.0,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_EPISODIC,20,-0.66666667,late_trigger_ticks,-0.66666667,-0.66666667,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_EPISODIC,20,-0.04166667,wasted_triggers,-0.04166667,-0.04166667,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_EPISODIC,20,-1.62928063,budget_cost_proxy,-1.62928066,-1.62928059,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__NO_REPLAN,20,0.0,completion,0.0,0.0,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__NO_REPLAN,20,0.0,progress,0.0,0.0,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__NO_REPLAN,20,0.0,late_trigger_ticks,0.0,0.0,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__NO_REPLAN,20,0.0,wasted_triggers,0.0,0.0,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__NO_REPLAN,20,0.64124744,budget_cost_proxy,0.64112528,0.6413695,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__PERIODIC_ONLY,20,0.75,completion,0.75,0.75,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__PERIODIC_ONLY,20,0.48958325,progress,0.48958325,0.48958325,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__PERIODIC_ONLY,20,-3.91666667,late_trigger_ticks,-3.91666667,-3.91666667,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__PERIODIC_ONLY,20,-1.79166667,wasted_triggers,-1.79166667,-1.79166667,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__PERIODIC_ONLY,20,-16.0280152,budget_cost_proxy,-16.02814942,-16.0278931,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__FAILURE_THRESHOLD,20,0.75,completion,0.75,0.75,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__FAILURE_THRESHOLD,20,0.48958325,progress,0.48958325,0.48958325,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__FAILURE_THRESHOLD,20,-5.125,late_trigger_ticks,-5.125,-5.125,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__FAILURE_THRESHOLD,20,-0.875,wasted_triggers,-0.875,-0.875,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__FAILURE_THRESHOLD,20,-7.01536874,budget_cost_proxy,-7.01550297,-7.01524667,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__EVENT_DRIVEN,20,0.75,completion,0.75,0.75,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__EVENT_DRIVEN,20,0.48958325,progress,0.48958325,0.48958325,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__EVENT_DRIVEN,20,0.0,late_trigger_ticks,0.0,0.0,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__EVENT_DRIVEN,20,-7.25,wasted_triggers,-7.25,-7.25,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__EVENT_DRIVEN,20,-72.70006119,budget_cost_proxy,-72.70018342,-72.69993914,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__HYBRID,20,0.75,completion,0.75,0.75,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__HYBRID,20,0.48958325,progress,0.48958325,0.48958325,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__HYBRID,20,-3.125,late_trigger_ticks,-3.125,-3.125,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__HYBRID,20,-3.16666667,wasted_triggers,-3.16666667,-3.16666667,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__HYBRID,20,-31.05729587,budget_cost_proxy,-31.057418,-31.0571738,ada020dde5e2c2213344292ef5bedebaca8311c48ef9f0f7de18ab0a2e415e9a
