storage_variant,trigger_variant,disturbance_family,severity,horizon,episode_count,completion_mean,progress_mean,repeated_failures_mean,false_triggers_mean,late_trigger_ticks_mean,wasted_triggers_mean,semantic_wakes_mean,motion_wakes_mean,control_wakes_mean,semantic_latency_proxy_ms_mean,motion_latency_proxy_ms_mean,control_latency_proxy_ms_mean,trigger_latency_ticks_mean_mean,stale_decisions_mean,retries_mean,escalations_mean,aborts_mean,storage_reads_mean,storage_writes_mean,storage_bytes_mean,storage_age_ticks_mean,budget_cost_proxy_mean
EPISODIC_ONLY,EVENT_DRIVEN,RESTRICTION_CHANGE,LOW,4,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.46078,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,78.0,2.0,28.176172
EPISODIC_ONLY,EVENT_DRIVEN,RESTRICTION_CHANGE,LOW,8,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.46078,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,78.0,4.0,28.176172
EPISODIC_ONLY,EVENT_DRIVEN,RESTRICTION_CHANGE,LOW,12,20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.46078,0.24,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,78.0,6.0,28.176172
EPISODIC_ONLY,FAILURE_THRESHOLD,AVAILABILITY_LOSS,HIGH,4,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.4633,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,4.0,330.0,3.0,32.422266
EPISODIC_ONLY,FAILURE_THRESHOLD,AVAILABILITY_LOSS,HIGH,8,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.4633,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,4.0,330.0,5.0,32.422266
EPISODIC_ONLY,FAILURE_THRESHOLD,AVAILABILITY_LOSS,HIGH,12,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.4633,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,4.0,330.0,7.0,32.422266
EPISODIC_ONLY,FAILURE_THRESHOLD,AVAILABILITY_LOSS,LOW,4,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.46243,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,3.0,243.0,3.0,32.337305
EPISODIC_ONLY,FAILURE_THRESHOLD,AVAILABILITY_LOSS,LOW,8,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.46243,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,3.0,243.0,5.0,32.337305
EPISODIC_ONLY,FAILURE_THRESHOLD,AVAILABILITY_LOSS,LOW,12,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.46243,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,3.0,243.0,7.0,32.337305
EPISODIC_ONLY,FAILURE_THRESHOLD,CONTROL_FAILURE,HIGH,4,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.46156,0.24,0.08,2.0,0.0,2.0,1.0,0.0,2.0,2.0,156.0,3.0,32.252344
EPISODIC_ONLY,FAILURE_THRESHOLD,CONTROL_FAILURE,HIGH,8,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.46156,0.24,0.08,2.0,0.0,2.0,1.0,0.0,2.0,2.0,156.0,5.0,32.252344
EPISODIC_ONLY,FAILURE_THRESHOLD,CONTROL_FAILURE,HIGH,12,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.46156,0.24,0.08,2.0,0.0,2.0,1.0,0.0,2.0,2.0,156.0,7.0,32.252344
EPISODIC_ONLY,FAILURE_THRESHOLD,CONTROL_FAILURE,LOW,4,20,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.23079,0.12,0.04,0.0,0.0,1.0,0.0,0.0,1.0,1.0,79.0,3.0,16.127148
EPISODIC_ONLY,FAILURE_THRESHOLD,CONTROL_FAILURE,LOW,8,20,1.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.23079,0.12,0.04,0.0,0.0,1.0,0.0,0.0,1.0,1.0,79.0,5.0,16.127148
EPISODIC_ONLY,FAILURE_THRESHOLD,CONTROL_FAILURE,LOW,12,20,1.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,1.0,0.23079,0.12,0.04,0.0,0.0,1.0,0.0,0.0,1.0,1.0,79.0,7.0,16.127148
EPISODIC_ONLY,FAILURE_THRESHOLD,POSE_SHIFT,HIGH,4,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.4624165,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,3.0,241.65,3.0,32.3359865
EPISODIC_ONLY,FAILURE_THRESHOLD,POSE_SHIFT,HIGH,8,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.4624165,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,3.0,241.65,5.0,32.3359865
EPISODIC_ONLY,FAILURE_THRESHOLD,POSE_SHIFT,HIGH,12,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.4624165,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,3.0,241.65,7.0,32.3359865
EPISODIC_ONLY,FAILURE_THRESHOLD,POSE_SHIFT,LOW,4,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.4624145,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,3.0,241.45,3.0,32.33579115
EPISODIC_ONLY,FAILURE_THRESHOLD,POSE_SHIFT,LOW,8,20,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.4624145,0.24,0.08,2.0,2.0,2.0,1.0,0.0,2.0,3.0,241.45,5.0,32.33579115
