matrix_role,architecture,n,success_rate,safety_rate,mean_progress,mean_wakes
PRIMARY,R0,117,0.3162393162393162,0.0,0.3694314803029582,1.6837606837606838
PRIMARY,R1,117,0.7435897435897436,0.0,0.7537497586149108,0.9145299145299145
PRIMARY,R2,117,1.0,0.0,0.9999978164519019,1.794871794871795
PRIMARY,R3,117,0.9914529914529915,0.008547008547008548,0.9925753503923357,1.1196581196581197
SENSITIVITY,R3,55,0.7090909090909091,0.0,0.7358618941553937,1.509090909090909
