storage_variant,trigger_policy,quality_id,effective_n,estimate,ci_low,ci_high,draw_indices_sha256
LIVE_BELIEF,PERIODIC_ONLY,Q00_CLEAN,12,0.5,0.5,0.5,4eef35a47680ced36b456fc47a866931fe45d5aad3b5f678020ca25adbcdb3ee
LIVE_BELIEF,PERIODIC_ONLY,Q01_RECALL75,12,0.441079,0.416667,0.465278,b8f269c8164539dcf37eb4e3b000ba2aca55ab983f3c5377a83b9de07eb3780f
LIVE_BELIEF,PERIODIC_ONLY,Q02_RECALL50,12,0.388756,0.361111,0.416667,fb1e03081d4b36ea455ebd28d2c1d7c130a2ac58541ad6edf50b1f678637d781
LIVE_BELIEF,PERIODIC_ONLY,Q03_RECALL25,12,0.333503,0.3125,0.354167,dd4e7994e36e8612969273cf7a91494ed992885d5b993f4ca971a0463fc48779
LIVE_BELIEF,PERIODIC_ONLY,Q04_DELAY1,12,0.5,0.5,0.5,bdd939e5ae23879c3e1bf0173a8c7176d5063aabf0dd76236e64a0cf58859b40
LIVE_BELIEF,PERIODIC_ONLY,Q05_DELAY3,12,0.5,0.5,0.5,85f2d87941a2493336bf2eeb7b73678105afaa0c2c01454028fcdedb7f370518
LIVE_BELIEF,PERIODIC_ONLY,Q06_FALSE3,12,0.5,0.5,0.5,0aa722185444be02f7da69974d8b5d331edecc8126042bb70cb9465e12517dd8
LIVE_BELIEF,PERIODIC_ONLY,Q07_DUP_OOO,12,0.75,0.75,0.75,5b3b0ba8486644812f06a4895a82177d267088d4fb47c3222c766130f35642c3
LIVE_BELIEF,PERIODIC_ONLY,Q08_GUARDED,12,0.621492,0.583333,0.659722,10a2e8cf15485c5826ec8f436cfbea01f829dd52d1122b2ea59dd0b3c87dc965
LIVE_BELIEF,PERIODIC_ONLY,Q09_HOSTILE,12,0.389081,0.361111,0.416667,f44ac87ae9b1fb77761f75bbcb84ec8eecc14e45c48425206f8c6033be577321
LIVE_EPISODIC,EVENT_DRIVEN,Q00_CLEAN,12,1.0,1.0,1.0,ad6450f9d62af00f0c666e3df04eb1cca7b791bdaf9d8808546e2b8cd665f111
LIVE_EPISODIC,EVENT_DRIVEN,Q01_RECALL75,12,0.812162,0.770833,0.857639,9962c979b5746ccccf6b7e41978024afe7003ddf4e44d5dd46b3fe6adb93fd0e
LIVE_EPISODIC,EVENT_DRIVEN,Q02_RECALL50,12,0.659909,0.600694,0.722222,d407515544828e3069b31f4b21d1d1bf55405960427f5afb719fc42767ff95fc
LIVE_EPISODIC,EVENT_DRIVEN,Q03_RECALL25,12,0.503802,0.447917,0.569444,bab19654effe1220022f14216b46b26ab29301ced6a61eeea92b1b2a504146e4
LIVE_EPISODIC,EVENT_DRIVEN,Q04_DELAY1,12,1.0,1.0,1.0,c01bcf38196e4b858549c9aa31792604aa04f1852fbf7a02b4874edc0ec8416c
LIVE_EPISODIC,EVENT_DRIVEN,Q05_DELAY3,12,1.0,1.0,1.0,77c24529a8808c8bdf2353669ee339feb1c8eba7c80d31c3dcde7cb71386aefb
LIVE_EPISODIC,EVENT_DRIVEN,Q06_FALSE3,12,1.0,1.0,1.0,ffd4c7060f45a148e35fa118e6c6734a239a4ab1cb10c3b7a12431edbfdf1921
LIVE_EPISODIC,EVENT_DRIVEN,Q07_DUP_OOO,12,1.0,1.0,1.0,8a6df5eaf560277c6c669ccbacd7c74a91b3dda510dc2b3bc5d781227a2eb67c
