run,variant,event_stratum,cases,successes,mission_success_fraction,success_wilson95_low,success_wilson95_high,forbidden_region_violations,invalid_affordance_choices,invalid_initial_plans,replans,stale_belief_failures,mean_replanning_latency_us,mean_route_cost_m,mean_context_facts,mean_geometry_queries,mean_semantic_queries
a,T4,INSTRUCTION_CHANGED+ROOM_RESTRICTED,12,0,0.000000,0.000000,0.242494,0,0,0,12,0,36.750000,0.000000,15.666667,1.000000,1.000000
a,T4,INSTRUCTION_CHANGED+ROOM_RESTRICTED+ROUTE_BLOCKED,4,0,0.000000,0.000000,0.489891,0,0,0,4,0,35.000000,0.000000,15.750000,1.000000,1.000000
a,T4,INSTRUCTION_CHANGED+ROUTE_BLOCKED,19,13,0.684211,0.460104,0.846356,0,0,4,19,0,20.263158,4.263158,15.631579,1.210526,1.000000
a,T4,NONE,176,153,0.869318,0.811541,0.911318,0,0,23,0,0,0.000000,7.306818,15.715909,1.073864,1.000000
a,T4,ROOM_RESTRICTED,44,44,1.000000,0.919704,1.000000,0,0,0,16,0,7.636364,12.000000,15.727273,1.000000,1.000000
a,T4,ROOM_RESTRICTED+ROUTE_BLOCKED,20,20,1.000000,0.838875,1.000000,0,0,0,9,0,9.450000,12.000000,15.600000,1.000000,1.000000
a,T4,ROUTE_BLOCKED,80,65,0.812500,0.713417,0.882947,0,0,15,0,0,0.000000,7.425000,15.675000,1.100000,1.000000
b,T0,INSTRUCTION_CHANGED,45,0,0.000000,0.000000,0.078652,0,24,21,0,0,0.000000,4.960874,15.000000,1.000000,0.000000
b,T0,INSTRUCTION_CHANGED+ROOM_RESTRICTED,12,0,0.000000,0.000000,0.242494,0,0,12,0,0,0.000000,11.186527,15.000000,1.000000,0.000000
b,T0,INSTRUCTION_CHANGED+ROOM_RESTRICTED+ROUTE_BLOCKED,4,0,0.000000,0.000000,0.489891,0,0,4,0,0,0.000000,11.266738,15.000000,1.000000,0.000000
b,T0,INSTRUCTION_CHANGED+ROUTE_BLOCKED,19,0,0.000000,0.000000,0.168179,0,8,11,0,0,0.000000,6.058775,15.000000,1.000000,0.000000
b,T0,NONE,167,0,0.000000,0.000000,0.022486,0,85,82,0,0,0.000000,5.194889,15.000000,1.000000,0.000000
b,T0,ROOM_RESTRICTED,50,0,0.000000,0.000000,0.071348,0,0,50,0,0,0.000000,11.176952,15.000000,1.000000,0.000000
b,T0,ROOM_RESTRICTED+ROUTE_BLOCKED,14,0,0.000000,0.000000,0.215311,0,0,14,0,0,0.000000,11.186900,15.000000,1.000000,0.000000
b,T0,ROUTE_BLOCKED,89,0,0.000000,0.000000,0.041377,0,43,46,0,0,0.000000,5.481187,15.000000,1.000000,0.000000
b,T1,INSTRUCTION_CHANGED,45,10,0.222222,0.125447,0.362693,0,24,8,45,0,18.511111,4.911111,21.000000,1.000000,0.000000
b,T1,INSTRUCTION_CHANGED+ROOM_RESTRICTED,12,0,0.000000,0.000000,0.242494,12,0,8,12,0,35.000000,11.000000,21.000000,1.000000,0.000000
b,T1,INSTRUCTION_CHANGED+ROOM_RESTRICTED+ROUTE_BLOCKED,4,0,0.000000,0.000000,0.489891,4,0,3,4,0,35.000000,11.000000,21.000000,1.000000,0.000000
b,T1,INSTRUCTION_CHANGED+ROUTE_BLOCKED,19,6,0.315789,0.153644,0.539896,0,8,4,19,0,21.000000,6.052632,21.000000,1.000000,0.000000
b,T1,NONE,167,44,0.263473,0.202521,0.335061,0,85,22,0,0,0.000000,5.149701,21.000000,1.000000,0.000000
b,T1,ROOM_RESTRICTED,50,0,0.000000,0.000000,0.071348,50,0,23,0,0,0.000000,11.000000,21.000000,1.000000,0.000000
b,T1,ROOM_RESTRICTED+ROUTE_BLOCKED,14,0,0.000000,0.000000,0.215311,14,0,7,0,0,0.000000,11.000000,21.000000,1.000000,0.000000
b,T1,ROUTE_BLOCKED,89,23,0.258427,0.178815,0.358029,0,43,17,0,0,0.000000,5.438202,21.000000,1.000000,0.000000
b,T2,INSTRUCTION_CHANGED,45,23,0.511111,0.370045,0.650430,0,0,10,45,2,23.644444,7.355556,13.000000,1.000000,1.000000
b,T2,INSTRUCTION_CHANGED+ROOM_RESTRICTED,12,0,0.000000,0.000000,0.242494,12,0,8,12,0,35.000000,11.000000,13.000000,1.000000,1.000000
b,T2,INSTRUCTION_CHANGED+ROOM_RESTRICTED+ROUTE_BLOCKED,4,0,0.000000,0.000000,0.489891,4,0,3,4,0,35.000000,11.000000,13.000000,1.000000,1.000000
b,T2,INSTRUCTION_CHANGED+ROUTE_BLOCKED,19,8,0.421053,0.231419,0.637241,0,0,5,19,3,26.526316,8.684211,13.000000,1.000000,1.000000
b,T2,NONE,167,86,0.514970,0.439690,0.589576,0,0,37,0,13,0.000000,7.724551,13.000000,1.000000,1.000000
b,T2,ROOM_RESTRICTED,50,0,0.000000,0.000000,0.071348,50,0,23,0,0,0.000000,11.000000,13.000000,1.000000,1.000000
b,T2,ROOM_RESTRICTED+ROUTE_BLOCKED,14,0,0.000000,0.000000,0.215311,14,0,7,0,0,0.000000,11.000000,13.000000,1.000000,1.000000
b,T2,ROUTE_BLOCKED,89,48,0.539326,0.436295,0.639103,0,0,23,0,8,0.000000,7.797753,13.000000,1.000000,1.000000
b,T3,INSTRUCTION_CHANGED,45,28,0.622222,0.476299,0.748919,0,0,8,45,0,26.288889,5.755556,15.000000,1.044444,1.000000
b,T3,INSTRUCTION_CHANGED+ROOM_RESTRICTED,12,0,0.000000,0.000000,0.242494,0,0,1,12,0,36.166667,0.000000,15.000000,1.000000,1.000000
b,T3,INSTRUCTION_CHANGED+ROOM_RESTRICTED+ROUTE_BLOCKED,4,0,0.000000,0.000000,0.489891,0,0,1,4,0,36.750000,0.000000,15.000000,1.000000,1.000000
b,T3,INSTRUCTION_CHANGED+ROUTE_BLOCKED,19,12,0.631579,0.410395,0.808505,0,0,3,19,0,28.000000,5.947368,15.000000,1.157895,1.000000
b,T3,NONE,167,138,0.826347,0.761734,0.876285,0,0,29,0,0,0.000000,7.203593,15.000000,1.077844,1.000000
b,T3,ROOM_RESTRICTED,50,50,1.000000,0.928652,1.000000,0,0,7,34,0,14.280000,12.000000,15.000000,1.000000,1.000000
b,T3,ROOM_RESTRICTED+ROUTE_BLOCKED,14,14,1.000000,0.784689,1.000000,0,0,4,11,0,16.500000,12.000000,15.000000,1.000000,1.000000
b,T3,ROUTE_BLOCKED,89,74,0.831461,0.740374,0.895117,0,0,15,0,0,0.000000,7.089888,15.000000,1.089888,1.000000
b,T4,INSTRUCTION_CHANGED,45,28,0.622222,0.476299,0.748919,0,0,5,45,0,26.133333,5.022222,15.666667,1.044444,1.000000
b,T4,INSTRUCTION_CHANGED+ROOM_RESTRICTED,12,0,0.000000,0.000000,0.242494,0,0,0,12,0,35.583333,0.000000,15.666667,1.000000,1.000000
b,T4,INSTRUCTION_CHANGED+ROOM_RESTRICTED+ROUTE_BLOCKED,4,0,0.000000,0.000000,0.489891,0,0,0,4,0,35.000000,0.000000,15.750000,1.000000,1.000000
b,T4,INSTRUCTION_CHANGED+ROUTE_BLOCKED,19,12,0.631579,0.410395,0.808505,0,0,3,19,0,28.000000,5.947368,15.368421,1.157895,1.000000
b,T4,NONE,167,143,0.856287,0.795067,0.901485,0,0,24,0,0,0.000000,7.233533,15.598802,1.077844,1.000000
b,T4,ROOM_RESTRICTED,50,50,1.000000,0.928652,1.000000,0,0,0,27,0,11.340000,12.000000,15.660000,1.000000,1.000000
b,T4,ROOM_RESTRICTED+ROUTE_BLOCKED,14,14,1.000000,0.784689,1.000000,0,0,0,7,0,10.500000,12.000000,15.857143,1.000000,1.000000
b,T4,ROUTE_BLOCKED,89,77,0.865169,0.778961,0.921157,0,0,12,0,0,0.000000,7.123596,15.550562,1.089888,1.000000
