scope,contrast,higher_variant,lower_variant,cases,runs_clustered,higher_successes,lower_successes,paired_success_difference,bootstrap95_low,bootstrap95_high,bootstrap_draws,bootstrap_method,bootstrap_seed,cluster_transparency
run_a,T3-T2,T3,T2,400,1,310,161,0.372500,0.325000,0.420000,10000,paired_case_resample_within_run,exp05-a-T3-T2-case-bootstrap-v1,Single frozen run; cases are resampled as matched pairs.
run_b,T3-T2,T3,T2,400,1,316,165,0.377500,0.330000,0.427500,10000,paired_case_resample_within_run,exp05-b-T3-T2-case-bootstrap-v1,Single frozen run; cases are resampled as matched pairs.
pooled_two_runs,T3-T2,T3,T2,800,2,626,326,0.375000,0.341250,0.408750,10000,two_stage_run_cluster_then_paired_case_resample,exp05-pooled-T3-T2-run-cluster-bootstrap-v1,"Two frozen runs are resampled with replacement before 400 matched cases within each selected run; n_clusters=2, so this is a descriptive sensitivity interval."
run_a,T4-T3,T4,T3,400,1,323,310,0.032500,0.017500,0.050000,10000,paired_case_resample_within_run,exp05-a-T4-T3-case-bootstrap-v1,Single frozen run; cases are resampled as matched pairs.
run_b,T4-T3,T4,T3,400,1,324,316,0.020000,0.007500,0.035000,10000,paired_case_resample_within_run,exp05-b-T4-T3-case-bootstrap-v1,Single frozen run; cases are resampled as matched pairs.
pooled_two_runs,T4-T3,T4,T3,800,2,647,626,0.026250,0.013750,0.041250,10000,two_stage_run_cluster_then_paired_case_resample,exp05-pooled-T4-T3-run-cluster-bootstrap-v1,"Two frozen runs are resampled with replacement before 400 matched cases within each selected run; n_clusters=2, so this is a descriptive sensitivity interval."
