run,variant,mission,cases,successes,mission_success_fraction,success_wilson95_low,success_wilson95_high,forbidden_region_violations,invalid_affordance_choices,invalid_initial_plans,replans,stale_belief_failures,mean_replanning_latency_us,mean_route_cost_m,mean_context_facts,mean_geometry_queries,mean_semantic_queries
b,T1,STORE_CARRIED_TOOL,80,0,0.000000,0.000000,0.045818,0,80,0,16,0,1.400000,0.000000,21.000000,1.000000,0.000000
b,T2,INSPECT_NEAREST_COOLANT,80,37,0.462500,0.357480,0.570956,0,0,24,16,26,5.600000,10.000000,13.000000,1.000000,1.000000
b,T2,INSPECT_VALVE7_WITH_ALTERNATE,80,46,0.575000,0.465693,0.677434,0,0,34,16,0,7.000000,11.000000,13.000000,1.000000,1.000000
b,T2,REACH_PUMP2_WITH_RECHARGE,80,37,0.462500,0.357480,0.570956,0,0,17,16,0,5.600000,10.000000,13.000000,1.000000,1.000000
b,T2,REPLAN_ON_RESTRICTION,80,0,0.000000,0.000000,0.045818,80,0,41,16,0,7.000000,11.000000,13.000000,1.000000,1.000000
b,T2,STORE_CARRIED_TOOL,80,45,0.562500,0.453411,0.665861,0,0,0,16,0,1.400000,0.000000,13.000000,1.000000,1.000000
b,T3,INSPECT_NEAREST_COOLANT,80,56,0.700000,0.592318,0.789354,0,0,24,16,0,5.337500,7.000000,15.000000,1.325000,1.000000
b,T3,INSPECT_VALVE7_WITH_ALTERNATE,80,65,0.812500,0.713417,0.882947,0,0,11,16,0,6.737500,10.687500,15.000000,1.000000,1.000000
b,T3,REACH_PUMP2_WITH_RECHARGE,80,63,0.787500,0.685778,0.862876,0,0,17,16,0,5.162500,7.875000,15.000000,1.000000,1.000000
b,T3,REPLAN_ON_RESTRICTION,80,64,0.800000,0.699538,0.872972,0,0,13,61,0,19.075000,9.600000,15.000000,1.000000,1.000000
b,T3,STORE_CARRIED_TOOL,80,68,0.850000,0.755868,0.912060,0,0,3,16,0,4.200000,2.012500,15.000000,1.000000,1.000000
b,T4,INSPECT_NEAREST_COOLANT,80,56,0.700000,0.592318,0.789354,0,0,24,16,0,5.337500,7.000000,15.550000,1.325000,1.000000
b,T4,INSPECT_VALVE7_WITH_ALTERNATE,80,73,0.912500,0.830232,0.956968,0,0,0,16,0,6.650000,10.375000,15.600000,1.000000,1.000000
b,T4,REACH_PUMP2_WITH_RECHARGE,80,63,0.787500,0.685778,0.862876,0,0,17,16,0,5.162500,7.875000,15.650000,1.000000,1.000000
b,T4,REPLAN_ON_RESTRICTION,80,64,0.800000,0.699538,0.872972,0,0,0,50,0,16.012500,9.600000,15.700000,1.000000,1.000000
b,T4,STORE_CARRIED_TOOL,80,68,0.850000,0.755868,0.912060,0,0,3,16,0,4.200000,2.012500,15.525000,1.000000,1.000000
