disturbance_family,effect_id,effective_seed_n,estimate,metric
AVAILABILITY_LOSS,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.58333333,progress
AVAILABILITY_LOSS,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-16.52916667,cost_proxy
RESTRICTION_CHANGE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.06666667,completion
RESTRICTION_CHANGE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.57916667,progress
RESTRICTION_CHANGE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-16.50972222,cost_proxy
CONTROL_FAILURE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.0,completion
CONTROL_FAILURE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.35,progress
CONTROL_FAILURE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-16.05,cost_proxy
POSE_SHIFT,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.06666667,completion
POSE_SHIFT,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.60833333,progress
POSE_SHIFT,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-16.56388889,cost_proxy
AVAILABILITY_LOSS,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.06666667,completion
AVAILABILITY_LOSS,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.58333333,progress
AVAILABILITY_LOSS,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-16.52916667,cost_proxy
RESTRICTION_CHANGE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.06666667,completion
RESTRICTION_CHANGE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.57916667,progress
RESTRICTION_CHANGE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-16.50972222,cost_proxy
CONTROL_FAILURE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.0,completion
CONTROL_FAILURE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.35,progress
CONTROL_FAILURE,POLICY_FAILURE_THRESHOLD_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-16.05,cost_proxy
POSE_SHIFT,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-0.20833333,completion
POSE_SHIFT,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-0.67222222,progress
POSE_SHIFT,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-11.88888889,cost_proxy
AVAILABILITY_LOSS,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-0.15555556,completion
AVAILABILITY_LOSS,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-0.23055556,progress
AVAILABILITY_LOSS,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-12.43055556,cost_proxy
RESTRICTION_CHANGE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-0.15694444,completion
RESTRICTION_CHANGE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-0.29722222,progress
RESTRICTION_CHANGE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-12.3,cost_proxy
CONTROL_FAILURE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.0,completion
CONTROL_FAILURE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-0.06527778,progress
CONTROL_FAILURE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,-12.70138889,cost_proxy
POSE_SHIFT,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-0.20833333,completion
POSE_SHIFT,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-0.67222222,progress
POSE_SHIFT,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-11.88888889,cost_proxy
AVAILABILITY_LOSS,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-0.15555556,completion
AVAILABILITY_LOSS,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-0.23055556,progress
AVAILABILITY_LOSS,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-12.43055556,cost_proxy
RESTRICTION_CHANGE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-0.15694444,completion
RESTRICTION_CHANGE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-0.29722222,progress
RESTRICTION_CHANGE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-12.3,cost_proxy
CONTROL_FAILURE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.0,completion
CONTROL_FAILURE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-0.06527778,progress
CONTROL_FAILURE,POLICY_EVENT_DRIVEN_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,-12.70138889,cost_proxy
POSE_SHIFT,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.03333333,completion
POSE_SHIFT,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,1.34722222,progress
POSE_SHIFT,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,2.81388889,cost_proxy
AVAILABILITY_LOSS,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.03333333,completion
AVAILABILITY_LOSS,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,1.38888889,progress
AVAILABILITY_LOSS,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,2.88611111,cost_proxy
RESTRICTION_CHANGE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.03333333,completion
RESTRICTION_CHANGE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,1.39027778,progress
RESTRICTION_CHANGE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,2.84027778,cost_proxy
CONTROL_FAILURE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.0,completion
CONTROL_FAILURE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,0.29027778,progress
CONTROL_FAILURE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__COMPACT_TYPED,12,6.61388889,cost_proxy
POSE_SHIFT,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.03333333,completion
POSE_SHIFT,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,1.34722222,progress
POSE_SHIFT,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,2.81388889,cost_proxy
AVAILABILITY_LOSS,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.03333333,completion
AVAILABILITY_LOSS,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,1.38888889,progress
AVAILABILITY_LOSS,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,2.88611111,cost_proxy
RESTRICTION_CHANGE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.03333333,completion
RESTRICTION_CHANGE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,1.39027778,progress
RESTRICTION_CHANGE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,2.84027778,cost_proxy
CONTROL_FAILURE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.0,completion
CONTROL_FAILURE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,0.29027778,progress
CONTROL_FAILURE,POLICY_HYBRID_MINUS_PERIODIC_ONLY__LIVE_EPISODIC__VERBOSE_TYPED,12,6.61388889,cost_proxy
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,0.0,completion
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,0.0,progress
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,5.30833333,cost_proxy
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,0.0,completion
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,0.0,progress
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,5.57083333,cost_proxy
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,0.0,completion
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,0.0,progress
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,5.55416667,cost_proxy
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,0.0,completion
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,0.0,progress
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__PERIODIC_ONLY,12,5.60416667,cost_proxy
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,0.0,completion
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,0.0,progress
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,5.30833333,cost_proxy
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,0.0,completion
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,0.0,progress
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,5.57083333,cost_proxy
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,0.0,completion
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,0.0,progress
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,5.55416667,cost_proxy
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,0.0,completion
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,0.0,progress
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__FAILURE_THRESHOLD,12,5.60416667,cost_proxy
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__EVENT_DRIVEN,12,0.0,completion
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__EVENT_DRIVEN,12,0.0,progress
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__EVENT_DRIVEN,12,5.30833333,cost_proxy
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__EVENT_DRIVEN,12,0.0,completion
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__EVENT_DRIVEN,12,0.0,progress
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__EVENT_DRIVEN,12,5.57083333,cost_proxy
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__EVENT_DRIVEN,12,0.0,completion
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__EVENT_DRIVEN,12,0.0,progress
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__EVENT_DRIVEN,12,5.55416667,cost_proxy
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__EVENT_DRIVEN,12,0.0,completion
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__EVENT_DRIVEN,12,0.0,progress
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__EVENT_DRIVEN,12,5.60416667,cost_proxy
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__HYBRID,12,0.0,completion
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__HYBRID,12,0.0,progress
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__HYBRID,12,5.30833333,cost_proxy
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__HYBRID,12,0.0,completion
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__HYBRID,12,0.0,progress
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__HYBRID,12,5.57083333,cost_proxy
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__HYBRID,12,0.0,completion
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__HYBRID,12,0.0,progress
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__HYBRID,12,5.55416667,cost_proxy
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__HYBRID,12,0.0,completion
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__HYBRID,12,0.0,progress
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_BELIEF__HYBRID,12,5.60416667,cost_proxy
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__PERIODIC_ONLY,12,0.0,completion
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__PERIODIC_ONLY,12,0.0,progress
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__PERIODIC_ONLY,12,5.30833333,cost_proxy
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__PERIODIC_ONLY,12,0.0,completion
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__PERIODIC_ONLY,12,0.0,progress
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__PERIODIC_ONLY,12,5.57083333,cost_proxy
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__PERIODIC_ONLY,12,0.0,completion
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__PERIODIC_ONLY,12,0.0,progress
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__PERIODIC_ONLY,12,5.55416667,cost_proxy
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__PERIODIC_ONLY,12,0.0,completion
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__PERIODIC_ONLY,12,0.0,progress
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__PERIODIC_ONLY,12,5.60416667,cost_proxy
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__FAILURE_THRESHOLD,12,0.0,completion
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__FAILURE_THRESHOLD,12,0.0,progress
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__FAILURE_THRESHOLD,12,5.30833333,cost_proxy
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__FAILURE_THRESHOLD,12,0.0,completion
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__FAILURE_THRESHOLD,12,0.0,progress
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__FAILURE_THRESHOLD,12,5.57083333,cost_proxy
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__FAILURE_THRESHOLD,12,0.0,completion
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__FAILURE_THRESHOLD,12,0.0,progress
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__FAILURE_THRESHOLD,12,5.55416667,cost_proxy
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__FAILURE_THRESHOLD,12,0.0,completion
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__FAILURE_THRESHOLD,12,0.0,progress
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__FAILURE_THRESHOLD,12,5.60416667,cost_proxy
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__EVENT_DRIVEN,12,0.0,completion
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__EVENT_DRIVEN,12,0.0,progress
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__EVENT_DRIVEN,12,5.30833333,cost_proxy
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__EVENT_DRIVEN,12,0.0,completion
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__EVENT_DRIVEN,12,0.0,progress
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__EVENT_DRIVEN,12,5.57083333,cost_proxy
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__EVENT_DRIVEN,12,0.0,completion
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__EVENT_DRIVEN,12,0.0,progress
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__EVENT_DRIVEN,12,5.55416667,cost_proxy
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__EVENT_DRIVEN,12,0.0,completion
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__EVENT_DRIVEN,12,0.0,progress
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__EVENT_DRIVEN,12,5.60416667,cost_proxy
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__HYBRID,12,0.0,completion
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__HYBRID,12,0.0,progress
POSE_SHIFT,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__HYBRID,12,5.30833333,cost_proxy
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__HYBRID,12,0.0,completion
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__HYBRID,12,0.0,progress
AVAILABILITY_LOSS,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__HYBRID,12,5.57083333,cost_proxy
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__HYBRID,12,0.0,completion
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__HYBRID,12,0.0,progress
RESTRICTION_CHANGE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__HYBRID,12,5.55416667,cost_proxy
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__HYBRID,12,0.0,completion
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__HYBRID,12,0.0,progress
CONTROL_FAILURE,PROMPT_VERBOSE_TYPED_MINUS_COMPACT_TYPED__LIVE_EPISODIC__HYBRID,12,5.60416667,cost_proxy
