disturbance_family,effect_id,effective_seed_n,estimate,metric
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__FAILURE_THRESHOLD__VERBOSE_TYPED,12,-3.45,cost_proxy
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,0.0,completion
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,0.0,progress
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,0.0,cost_proxy
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,0.0,completion
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,0.0,progress
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,0.0,cost_proxy
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,0.0,completion
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,0.0,progress
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,0.0,cost_proxy
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,0.0,completion
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,0.08472222,progress
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__COMPACT_TYPED,12,-0.16944444,cost_proxy
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,0.0,completion
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,0.0,progress
POSE_SHIFT,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,0.0,cost_proxy
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,0.0,completion
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,0.0,progress
AVAILABILITY_LOSS,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,0.0,cost_proxy
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,0.0,completion
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,0.0,progress
RESTRICTION_CHANGE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,0.0,cost_proxy
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,0.0,completion
CONTROL_FAILURE,STORAGE_LIVE_EPISODIC_MINUS_LIVE_BELIEF__EVENT_DRIVEN__VERBOSE_TYPED,12,0.08472222,progress
