episode_id,seed,condition,controller,detection_correct,detection_present,localization_error_m,task_complete,collision_free,safe_completion,goal_error_m,obstacle_contact_ticks,path_length_m,ticks,replans,semantic_wakes,detector_latency_ms
seed-7204-no_obstacle-rgb_only,7204,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.097863691658131,0,2.2980556980237115,134,0,0,0.35
seed-7204-no_obstacle-rgbd_motion,7204,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.097863691658131,0,2.2980556980237115,134,0,0,0.72
seed-7204-opaque-hierarchical,7204,OPAQUE,HIERARCHICAL,True,True,0.016449560234325058,True,True,True,0.09855360751773905,0,2.563830222017108,274,0,0,0.72
seed-7204-opaque-rgb_only,7204,OPAQUE,RGB_ONLY,True,True,0.016449560234325058,True,True,True,0.09855360751773905,0,2.563830222017108,274,0,0,0.35
seed-7204-opaque-rgbd_motion,7204,OPAQUE,RGBD_MOTION,True,True,0.016449560234325058,True,True,True,0.09855360751773905,0,2.563830222017108,274,0,0,0.72
seed-7205-eval_x3-hierarchical,7205,EVAL_X3,HIERARCHICAL,True,True,0.013215633982491311,True,True,True,0.09844144599250904,0,2.5365012170294867,274,0,0,0.72
seed-7205-eval_x3-rgb_only,7205,EVAL_X3,RGB_ONLY,False,False,,False,False,False,1.3220991970181943,265,1.1254524369459464,300,0,0,0.35
seed-7205-eval_x3-rgbd_motion,7205,EVAL_X3,RGBD_MOTION,True,True,0.013215633982491311,True,True,True,0.09844144599250904,0,2.5365012170294867,274,0,0,0.72
seed-7205-no_obstacle-hierarchical,7205,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09789837181298522,0,2.2991364944777586,134,0,0,0.72
seed-7205-no_obstacle-rgb_only,7205,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09789837181298522,0,2.2991364944777586,134,0,0,0.35
seed-7205-no_obstacle-rgbd_motion,7205,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09789837181298522,0,2.2991364944777586,134,0,0,0.72
seed-7205-opaque-hierarchical,7205,OPAQUE,HIERARCHICAL,True,True,0.013215633982491311,True,True,True,0.09844144599250904,0,2.5365012170294867,274,0,0,0.72
seed-7205-opaque-rgb_only,7205,OPAQUE,RGB_ONLY,True,True,0.016559538514778194,True,True,True,0.09851503555785619,0,2.5363834994643457,274,0,0,0.35
seed-7205-opaque-rgbd_motion,7205,OPAQUE,RGBD_MOTION,True,True,0.013215633982491311,True,True,True,0.09844144599250904,0,2.5365012170294867,274,0,0,0.72
seed-7206-eval_x3-hierarchical,7206,EVAL_X3,HIERARCHICAL,True,True,0.01963323843772227,True,True,True,0.09773934281736502,0,2.5535088609276775,274,0,0,0.72
seed-7206-eval_x3-rgb_only,7206,EVAL_X3,RGB_ONLY,False,False,,False,False,False,1.4037704078307125,268,1.0034977460941206,300,0,0,0.35
