comparison_metric,seed,member_count,cluster_mean,members_json
R3-R0:mission_success,20262401,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262402,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262403,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262404,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262405,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262406,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262407,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262408,12,0.6666666666666666,"[0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262409,10,0.7,"[0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:mission_success,20262410,10,0.7,"[0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0]"
R3-R0:safety_composite,20262401,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262402,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262403,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262404,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262405,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262406,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262407,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262408,12,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262409,10,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:safety_composite,20262410,10,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R0:progress,20262401,12,0.6116166232441297,"[0.0,0.0,0.0,0.0,0.7149460978643436,0.7151277717787414,0.9999968645979234,0.9999979095630185,0.997742902013061,0.9575724211519345,0.9977994909587717,0.9562160210017626]"
R3-R0:progress,20262402,12,0.6186682357789293,"[0.0,0.0,0.0,0.0,0.7467459245506959,0.7740093396546883,0.999998214532678,0.9999960948868195,0.9978951138145633,0.9518430878417787,0.9979598364779692,0.9555712175879583]"
R3-R0:progress,20262403,12,0.611467790779427,"[0.0,0.0,0.0,0.0,0.7394899868031495,0.7002802100913161,0.9999981024078457,0.9999969410029663,0.9982860039532951,0.9489262820208423,0.9979941771369288,0.952641785936781]"
R3-R0:progress,20262404,12,0.6142334149468657,"[0.0,0.0,0.0,0.0,0.7382543273480144,0.7301797438355547,0.9999982442842271,0.9999978692704729,0.9978352994989798,0.9547934081192271,0.9980467655873388,0.9516953214185743]"
R3-R0:progress,20262405,12,0.6108153652315423,"[0.0,0.0,0.0,0.0,0.7151322851283115,0.7190330768939353,0.9999971436597722,0.9999980565929152,0.9980685060668288,0.9530484612474497,0.997629860387964,0.9468769928013298]"
R3-R0:progress,20262406,12,0.61223157990547,"[0.0,0.0,0.0,0.0,0.683373329211209,0.7564441005104278,0.9999974991630016,0.9999984240697356,0.9978609581846697,0.9565208957619686,0.9976255548756803,0.9549581970889478]"
R3-R0:progress,20262407,12,0.614193636134755,"[0.0,0.0,0.0,0.0,0.7458113543538243,0.7199405987895209,0.9999970211264135,0.9999976613232927,0.998140334375453,0.9541995740412202,0.9979998206391979,0.9542372689681389]"
R3-R0:progress,20262408,12,0.6092400725785363,"[0.0,0.0,0.0,0.0,0.693898354213793,0.7113485789619975,0.9999977646063145,0.9999980831582748,0.9978232788054314,0.9555933656356157,0.9978711708055245,0.9543502747554852]"
R3-R0:progress,20262409,10,0.6644611581079103,"[0.0,0.0,0.0,0.739542662760649,0.999997902812642,0.9999981410310964,0.9980453969777618,0.955787379026937,0.9979394473777019,0.9533006510923159]"
R3-R0:progress,20262410,10,0.6446556008115646,"[0.0,0.0,0.0,0.7551215339565441,0.7441559590015092,0.9999979309421105,0.9999976431322148,0.9979455814190794,0.9979240680677265,0.9514132915964614]"
R3-R0:total_wakes,20262401,12,-0.5833333333333334,"[0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262402,12,-0.5833333333333334,"[0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262403,12,-0.5833333333333334,"[0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262404,12,-0.5,"[0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262405,12,-0.5833333333333334,"[0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262406,12,-0.5,"[0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262407,12,-0.5833333333333334,"[0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262408,12,-0.5,"[0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262409,10,-0.6,"[0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R0:total_wakes,20262410,10,-0.6,"[0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0]"
R3-R1:mission_success,20262401,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:mission_success,20262402,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:mission_success,20262403,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:mission_success,20262404,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
R3-R1:mission_success,20262405,12,0.25,"[0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0]"
