bootstrap_draws,candidate,comparator,contrast,effective_seed_n,estimate,metric,q025,q975,seed_cluster_sha256
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__NO_MEMORY,20,0.375,completion,0.34166667,0.40833333,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__NO_MEMORY,20,0.04079856,progress,0.03593745,0.04565968,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__NO_MEMORY,20,-1.375,late_trigger_ticks,-1.40833333,-1.34166667,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__NO_MEMORY,20,0.04166667,wasted_triggers,0.04166667,0.04166667,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__NO_MEMORY,20,1.30416667,budget_cost_proxy,0.8025,1.68041667,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__FIXED_SNAPSHOT,20,0.0,completion,0.0,0.0,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__FIXED_SNAPSHOT,20,0.0,progress,0.0,0.0,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__FIXED_SNAPSHOT,20,-1.45833333,late_trigger_ticks,-1.45833333,-1.45833333,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__FIXED_SNAPSHOT,20,1.33333333,wasted_triggers,1.33333333,1.33333333,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__FIXED_SNAPSHOT,20,13.40000004,budget_cost_proxy,13.4,13.40000008,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_BELIEF,20,0.0,completion,0.0,0.0,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_BELIEF,20,0.0,progress,0.0,0.0,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_BELIEF,20,-0.70833333,late_trigger_ticks,-0.70833333,-0.70833333,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_BELIEF,20,0.08333333,wasted_triggers,0.08333333,0.08333333,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_BELIEF,20,-0.1625,budget_cost_proxy,-0.1625,-0.1625,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__EPISODIC_ONLY,20,0.0,completion,0.0,0.0,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__EPISODIC_ONLY,20,0.0,progress,0.0,0.0,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__EPISODIC_ONLY,20,-0.66666667,late_trigger_ticks,-0.66666667,-0.66666667,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__EPISODIC_ONLY,20,-0.04166667,wasted_triggers,-0.04166667,-0.04166667,2a58176a8728975c2a7c89848426ff4f5087b977200a3f30d72a5a87faf74ab1
