trigger_variant,episode_count,completion_mean,progress_mean,repeated_failures_mean,false_triggers_mean,late_trigger_ticks_mean,wasted_triggers_mean,semantic_wakes_mean,motion_wakes_mean,control_wakes_mean,semantic_latency_proxy_ms_mean,motion_latency_proxy_ms_mean,control_latency_proxy_ms_mean,trigger_latency_ticks_mean_mean,stale_decisions_mean,retries_mean,escalations_mean,aborts_mean,storage_reads_mean,storage_writes_mean,storage_bytes_mean,storage_age_ticks_mean,budget_cost_proxy_mean
EVENT_DRIVEN,2400,0.8125,0.87760419,1.3,0.0,0.25,1.6,3.6125,2.0125,2.05,0.83358405,0.2415,0.082,0.42219519,1.7,2.05,0.0,0.1875,3.6125,0.9,270.905,6.9125,48.7201807
FAILURE_THRESHOLD,2400,0.8125,0.87760419,2.2,0.0,3.875,0.2,1.875,1.675,3.2375,0.43445955,0.201,0.1295,1.75,2.8125,3.2375,0.875,0.1875,1.875,1.55,320.955,7.75,32.33218268
HYBRID,2400,0.8125,0.87760419,1.57083333,1.52916667,1.40416667,2.23333333,4.30416667,2.07083333,2.45,0.99275722,0.2485,0.098,0.9121528,2.05,2.45,0.0,0.1875,4.30416667,1.01666667,279.88833333,7.29583333,56.7135368
NO_REPLAN,2400,0.25,0.51041675,6.25,0.0,8.5,0.0,1.0,1.0,7.25,0.23487505,0.12,0.29,0.0,6.75,7.25,0.0,0.75,1.0,3.7,487.505,6.8,29.02607907
PERIODIC_ONLY,2400,0.7375,0.86944447,1.95416667,1.61666667,2.37916667,1.95833333,3.9875,2.02916667,2.9875,0.92010355,0.2435,0.1195,1.59687502,2.55416667,2.9875,0.0,0.2625,3.9875,1.25,297.855,7.62083333,54.45691571
