storage_variant,trigger_variant,episode_count,completion_mean,progress_mean,repeated_failures_mean,false_triggers_mean,late_trigger_ticks_mean,wasted_triggers_mean,semantic_wakes_mean,motion_wakes_mean,control_wakes_mean,semantic_latency_proxy_ms_mean,motion_latency_proxy_ms_mean,control_latency_proxy_ms_mean,trigger_latency_ticks_mean_mean,stale_decisions_mean,retries_mean,escalations_mean,aborts_mean,storage_reads_mean,storage_writes_mean,storage_bytes_mean,storage_age_ticks_mean,budget_cost_proxy_mean
EPISODIC_ONLY,EVENT_DRIVEN,480,1.0,1.0,0.0,0.0,0.25,0.0,2.0,2.0,0.25,0.46103806,0.24,0.01,0.25,0.0,0.25,0.0,0.0,2.0,1.25,103.80625,4.25,28.70137332
EPISODIC_ONLY,FAILURE_THRESHOLD,480,1.0,1.0,0.875,0.0,2.5,0.0,1.875,1.875,1.875,0.43353931,0.225,0.075,1.75,1.5,1.875,0.875,0.0,1.875,2.875,228.93125,5.0,30.31731579
EPISODIC_ONLY,HYBRID,480,1.0,1.0,0.04166667,1.70833333,0.5,1.66666667,3.66666667,2.0,0.54166667,0.84459598,0.24,0.02166667,0.58333333,0.25,0.54166667,0.0,0.0,3.66666667,1.54166667,126.26458333,4.5,46.05663857
EPISODIC_ONLY,NO_REPLAN,480,0.25,0.51041675,6.25,0.0,8.5,0.0,1.0,1.0,7.25,0.23645306,0.12,0.29,0.0,6.75,7.25,0.0,0.75,1.0,8.25,645.30625,1.25,29.18018174
EPISODIC_ONLY,PERIODIC_ONLY,480,1.0,1.0,0.375,1.79166667,1.16666667,1.70833333,3.70833333,2.0,1.125,0.85462848,0.24,0.045,1.25,0.75,1.125,0.0,0.0,3.70833333,2.125,171.18125,4.75,47.68591918
FIXED_SNAPSHOT,EVENT_DRIVEN,480,0.25,0.51041675,6.25,0.0,0.25,7.25,8.25,1.0,7.25,1.901284,0.12,0.29,0.91378075,6.75,7.25,0.0,0.75,8.25,0.0,378.4,11.5,101.78203131
FIXED_SNAPSHOT,FAILURE_THRESHOLD,480,0.25,0.51041675,6.25,0.0,7.625,0.875,1.875,1.0,7.25,0.435034,0.12,0.29,1.75,6.75,7.25,0.875,0.75,1.875,0.0,378.4,11.5,37.71328135
FIXED_SNAPSHOT,HYBRID,480,0.25,0.51041675,6.25,1.04166667,3.625,4.83333333,5.83333333,1.0,7.25,1.34545067,0.12,0.29,1.60416675,6.75,7.25,0.0,0.75,5.83333333,0.0,378.4,11.5,77.4945313
FIXED_SNAPSHOT,NO_REPLAN,480,0.25,0.51041675,6.25,0.0,8.5,0.0,1.0,1.0,7.25,0.233784,0.12,0.29,0.0,6.75,7.25,0.0,0.75,1.0,0.0,378.4,11.5,28.91953127
FIXED_SNAPSHOT,PERIODIC_ONLY,480,0.25,0.51041675,6.25,1.08333333,5.08333333,3.5,4.5,1.0,7.25,1.038784,0.12,0.29,2.29166675,6.75,7.25,0.0,0.75,4.5,0.0,378.4,11.5,64.09453126
LIVE_BELIEF,EVENT_DRIVEN,480,1.0,1.0,0.25,0.0,0.25,0.5,2.25,1.75,0.5,0.52128756,0.21,0.02,0.25,0.0,0.5,0.0,0.0,2.25,1.0,378.75625,5.5,30.9823792
LIVE_BELIEF,FAILURE_THRESHOLD,480,1.0,1.0,1.0,0.0,3.125,0.125,1.875,1.75,2.0,0.43503756,0.21,0.08,1.75,1.5,2.0,0.875,0.0,1.875,1.0,378.75625,7.0,30.2136292
LIVE_BELIEF,HYBRID,480,1.0,1.0,0.25,1.79166667,0.625,2.08333333,3.83333333,1.75,0.75,0.88545423,0.21,0.03,0.625,0.25,0.75,0.0,0.0,3.83333333,1.0,378.75625,5.75,47.39487919
LIVE_BELIEF,NO_REPLAN,480,0.25,0.51041675,6.25,0.0,8.5,0.0,1.0,1.0,7.25,0.23378756,0.12,0.29,0.0,6.75,7.25,0.0,0.75,1.0,1.0,378.75625,8.5,28.91987917
LIVE_BELIEF,PERIODIC_ONLY,480,1.0,1.0,0.5,1.83333333,1.33333333,2.0,3.75,1.75,1.25,0.86628756,0.21,0.05,1.3125,0.75,1.25,0.0,0.0,3.75,1.0,378.75625,6.25,47.55737919
LIVE_EPISODIC,EVENT_DRIVEN,480,1.0,1.0,0.0,0.0,0.25,0.0,2.0,2.0,0.25,0.46493562,0.24,0.01,0.25,0.0,0.25,0.0,0.0,2.0,2.25,493.5625,4.25,29.08199464
LIVE_EPISODIC,FAILURE_THRESHOLD,480,1.0,1.0,0.875,0.0,2.5,0.0,1.875,1.875,1.875,0.43743687,0.225,0.075,1.75,1.5,1.875,0.875,0.0,1.875,3.875,618.6875,5.0,30.69793707
LIVE_EPISODIC,HYBRID,480,1.0,1.0,0.04166667,1.70833333,0.5,1.66666667,3.66666667,2.0,0.54166667,0.84849354,0.24,0.02166667,0.58333333,0.25,0.54166667,0.0,0.0,3.66666667,2.54166667,516.02083333,4.5,46.43725995
LIVE_EPISODIC,NO_REPLAN,480,0.25,0.51041675,6.25,0.0,8.5,0.0,1.0,1.0,7.25,0.24035062,0.12,0.29,0.0,6.75,7.25,0.0,0.75,1.0,9.25,1035.0625,1.25,29.56080319
