matrix_role,architecture,n,success_rate,safety_rate,mean_progress,mean_wakes
PRIMARY,R0,111,0.36036036036036034,0.0,0.4107046094230208,1.6396396396396395
PRIMARY,R1,111,0.7567567567567568,0.0,0.7663955417888411,0.9099099099099099
PRIMARY,R2,111,1.0,0.0,0.9999978826070881,1.7477477477477477
PRIMARY,R3,111,0.990990990990991,0.009009009009009009,0.9920464042188595,1.1081081081081081
SENSITIVITY,R3,56,0.6428571428571429,0.0,0.6864425011361781,1.5
