bootstrap_draws,candidate,comparator,contrast,effective_seed_n,estimate,metric,q025,q975,seed_cluster_sha256
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_EPISODIC,20,-0.66666667,late_trigger_ticks,-0.66666667,-0.66666667,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_EPISODIC,20,-0.04166667,wasted_triggers,-0.04166667,-0.04166667,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,HYBRID,PERIODIC_ONLY,HYBRID_MINUS_PERIODIC__LIVE_EPISODIC,20,-1.62928063,budget_cost_proxy,-1.62928066,-1.62928059,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__NO_REPLAN,20,0.0,completion,0.0,0.0,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__NO_REPLAN,20,0.0,progress,0.0,0.0,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__NO_REPLAN,20,0.0,late_trigger_ticks,0.0,0.0,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__NO_REPLAN,20,0.0,wasted_triggers,0.0,0.0,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__NO_REPLAN,20,0.64128414,budget_cost_proxy,0.64117433,0.64139398,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__PERIODIC_ONLY,20,0.75,completion,0.75,0.75,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__PERIODIC_ONLY,20,0.48958325,progress,0.48958325,0.48958325,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__PERIODIC_ONLY,20,-3.91666667,late_trigger_ticks,-3.91666667,-3.91666667,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__PERIODIC_ONLY,20,-1.79166667,wasted_triggers,-1.79166667,-1.79166667,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__PERIODIC_ONLY,20,-16.02797855,budget_cost_proxy,-16.02808837,-16.0278687,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__FAILURE_THRESHOLD,20,0.75,completion,0.75,0.75,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__FAILURE_THRESHOLD,20,0.48958325,progress,0.48958325,0.48958325,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__FAILURE_THRESHOLD,20,-5.125,late_trigger_ticks,-5.125,-5.125,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__FAILURE_THRESHOLD,20,-0.875,wasted_triggers,-0.875,-0.875,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
10000,LIVE_EPISODIC,FIXED_SNAPSHOT,LIVE_EPISODIC_MINUS_FIXED__FAILURE_THRESHOLD,20,-7.01533209,budget_cost_proxy,-7.01544191,-7.01522222,2a7e18d34c29c0d72a184b51ebbbf6fcc79750e921bca27f65f96b4ed35f9b0c
