seed,variant_id,correctness,adverse_composite,semantic_mutation_correctness,history_correctness,stale_action_rate,invalid_target_rate,repeated_failed_target_rate,unnecessary_scan_rate,failure_explanation_accuracy,context_facts_mean,context_bytes_mean,control_correctness
20263001,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1316.0,1.0
20263001,LIVE_SEMANTIC,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1316.6666666666667,1.0
20263001,LIVE_EPISODIC,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1421.3333333333333,1.0
20263001,LIVE_SEPARATE,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1422.0,1.0
20263002,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1319.0,1.0
20263002,LIVE_SEMANTIC,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1318.3333333333333,1.0
20263002,LIVE_EPISODIC,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1421.6666666666667,1.0
20263002,LIVE_SEPARATE,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5,0.0,1.0,0.0,0.08333333333333333,1.0,16.666666666666668,1421.0,1.0
20263003,FIXED_M5,0.4166666666666667,0.2222222222222222,0.4166666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,0.08333333333333333,0.3333333333333333,16.0,1317.0,1.0
20263003,LIVE_SEMANTIC,0.5,0.2222222222222222,0.5,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,16.0,1317.6666666666667,1.0
20263003,LIVE_EPISODIC,0.5833333333333334,0.2222222222222222,0.5833333333333334,0.6666666666666666,0.0,0.6666666666666666,0.0,0.08333333333333333,1.0,16.666666666666668,1419.6666666666667,1.0
20263003,LIVE_SEPARATE,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,1.0,16.666666666666668,1420.3333333333333,1.0
20263004,FIXED_M5,0.4166666666666667,0.2222222222222222,0.4166666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,0.08333333333333333,0.3333333333333333,16.0,1317.0,1.0
20263004,LIVE_SEMANTIC,0.75,0.1111111111111111,0.75,0.5,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,16.0,1317.3333333333333,1.0
20263004,LIVE_EPISODIC,0.5833333333333334,0.2222222222222222,0.5833333333333334,0.6666666666666666,0.0,0.6666666666666666,0.0,0.08333333333333333,1.0,16.666666666666668,1419.6666666666667,1.0
20263004,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1420.0,1.0
20263005,FIXED_M5,0.4166666666666667,0.2222222222222222,0.4166666666666667,0.3333333333333333,0.0,0.6666666666666666,0.0,0.08333333333333333,0.3333333333333333,16.0,1317.0,1.0
20263005,LIVE_SEMANTIC,0.75,0.1111111111111111,0.75,0.5,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,16.0,1317.6666666666667,1.0
20263005,LIVE_EPISODIC,0.5833333333333334,0.2222222222222222,0.5833333333333334,0.6666666666666666,0.0,0.6666666666666666,0.0,0.08333333333333333,1.0,16.666666666666668,1422.3333333333333,1.0
20263005,LIVE_SEPARATE,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.666666666666668,1423.0,1.0
20263006,FIXED_M5,0.25,0.3333333333333333,0.25,0.16666666666666666,0.0,1.0,0.0,0.08333333333333333,0.3333333333333333,16.0,1316.0,1.0
