metric,candidate,comparator,estimate,q025,q975,n_seeds
correctness,LIVE_SEPARATE,FIXED_M5,0.5533854166666666,0.50390625,0.6002604166666667,64
adverse_composite,LIVE_SEPARATE,FIXED_M5,-0.22569444444444442,-0.2543402777777778,-0.1953125,64
semantic_mutation_correctness,LIVE_SEPARATE,LIVE_EPISODIC,0.38671874999999994,0.33723958333333326,0.43359374999999994,64
history_correctness,LIVE_SEPARATE,LIVE_SEMANTIC,0.5078125,0.47916666666666674,0.5364583333333334,64
