episode_id,seed,condition,controller,detection_correct,detection_present,localization_error_m,task_complete,collision_free,safe_completion,goal_error_m,obstacle_contacts,replans,retries,semantic_wakes,path_length_m,ticks
seed-5104-opaque-hierarchical,5104,OPAQUE,HIERARCHICAL,True,True,0.007296994530345759,True,True,True,0.0974243634046601,0,0,0,0,2.5782170331790746,275
seed-5104-transparent-rgb_only,5104,TRANSPARENT,RGB_ONLY,False,False,,False,False,False,1.4003054841055014,267,0,0,0,1.0064329206956466,300
seed-5104-transparent-rgbd_motion,5104,TRANSPARENT,RGBD_MOTION,True,True,0.007296994530345759,True,True,True,0.0974243634046601,0,0,0,0,2.5782170331790746,275
seed-5104-transparent-hierarchical,5104,TRANSPARENT,HIERARCHICAL,True,True,0.007296994530345759,True,True,True,0.0974243634046601,0,0,0,0,2.5782170331790746,275
seed-5105-no_obstacle-rgb_only,5105,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09787060817438932,0,0,0,0,2.302354392264689,134
seed-5105-no_obstacle-rgbd_motion,5105,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09787060817438932,0,0,0,0,2.302354392264689,134
seed-5105-no_obstacle-hierarchical,5105,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09787060817438932,0,0,0,0,2.302354392264689,134
seed-5105-opaque-rgb_only,5105,OPAQUE,RGB_ONLY,True,True,0.008650479560163401,True,True,True,0.09912039940587053,0,0,0,0,2.559457868329315,274
seed-5105-opaque-rgbd_motion,5105,OPAQUE,RGBD_MOTION,True,True,0.008650479560163401,True,True,True,0.09912039940587053,0,0,0,0,2.559457868329315,274
seed-5105-opaque-hierarchical,5105,OPAQUE,HIERARCHICAL,True,True,0.008650479560163401,True,True,True,0.09912039940587053,0,0,0,0,2.559457868329315,274
seed-5105-transparent-rgb_only,5105,TRANSPARENT,RGB_ONLY,False,False,,False,False,False,1.3523301643212307,265,0,0,0,1.0912421467323112,300
seed-5105-transparent-rgbd_motion,5105,TRANSPARENT,RGBD_MOTION,True,True,0.008650479560163401,True,True,True,0.09912039940587053,0,0,0,0,2.559457868329315,274
seed-5105-transparent-hierarchical,5105,TRANSPARENT,HIERARCHICAL,True,True,0.008650479560163401,True,True,True,0.09912039940587053,0,0,0,0,2.559457868329315,274
seed-5106-no_obstacle-rgb_only,5106,NO_OBSTACLE,RGB_ONLY,True,False,0.0,True,True,True,0.09791433601216427,0,0,0,0,2.303726424474015,134
seed-5106-no_obstacle-rgbd_motion,5106,NO_OBSTACLE,RGBD_MOTION,True,False,0.0,True,True,True,0.09791433601216427,0,0,0,0,2.303726424474015,134
seed-5106-no_obstacle-hierarchical,5106,NO_OBSTACLE,HIERARCHICAL,True,False,0.0,True,True,True,0.09791433601216427,0,0,0,0,2.303726424474015,134
seed-5106-opaque-rgb_only,5106,OPAQUE,RGB_ONLY,True,True,0.013294380316973005,True,True,True,0.09874260127230103,0,0,0,0,2.591320131588999,275
seed-5106-opaque-rgbd_motion,5106,OPAQUE,RGBD_MOTION,True,True,0.013294380316973005,True,True,True,0.09874260127230103,0,0,0,0,2.591320131588999,275
