draw_id,primary_sampled_seeds,sensitivity_sampled_seeds,R3-R0:mission_success,R3-R0:safety_composite,R3-R0:progress,R3-R0:total_wakes,R3-R1:mission_success,R3-R1:safety_composite,R3-R1:progress,R3-R1:total_wakes,R3-R2:mission_success,R3-R2:safety_composite,R3-R2:progress,R3-R2:total_wakes,P4-P6:mission_success,P4-P6:progress
0,20262107|20262104|20262103|20262101|20262110|20262106|20262102|20262108|20262107|20262107,20262101|20262101|20262101|20262101|20262101,0.6039393939393939,0.01,0.5521931651247086,-0.5074242424242426,0.25045454545454543,0.01,0.24164567877293974,0.20303030303030303,-0.01,0.01,-0.008826162564601657,-0.6372727272727273,-0.25,-0.2239487103214565
1,20262101|20262107|20262101|20262104|20262109|20262104|20262101|20262102|20262107|20262107,20262101|20262101|20262101|20262101|20262102,0.6272727272727272,0.0,0.5684426678477982,-0.5340909090909092,0.2795454545454546,0.0,0.2681128932760261,0.18636363636363637,0.0,0.0,2.9400223623225286e-08,-0.6424242424242423,-0.2833333333333333,-0.25108915579618873
2,20262103|20262101|20262107|20262101|20262102|20262107|20262106|20262108|20262104|20262101,20262101|20262101|20262101|20262101|20262103,0.6317171717171718,0.0,0.5775893254305033,-0.5396464646464646,0.25712121212121214,0.0,0.24665160576969286,0.18414141414141416,0.0,0.0,2.5693909676274853e-08,-0.653939393939394,-0.26666666666666666,-0.2436429739621425
3,20262104|20262108|20262106|20262103|20262110|20262108|20262105|20262105|20262108|20262109,20262101|20262101|20262101|20262101|20262104,0.6312121212121212,0.01,0.5868405495945697,-0.5248484848484847,0.21181818181818182,0.01,0.20433004027208873,0.20606060606060606,-0.01,0.01,-0.008826142434578372,-0.6493939393939394,-0.2909090909090909,-0.25663561063801404
4,20262109|20262109|20262105|20262105|20262103|20262109|20262104|20262108|20262106|20262102,20262101|20262101|20262101|20262101|20262105,0.6539393939393939,0.0,0.6041897915614418,-0.5507575757575758,0.24045454545454542,0.0,0.23091605626339548,0.1896969696969697,0.0,0.0,3.907590825528196e-08,-0.6539393939393939,-0.26666666666666666,-0.23570747986104723
5,20262101|20262107|20262105|20262108|20262101|20262106|20262105|20262102|20262102|20262107,20262101|20262101|20262101|20262102|20262101,0.6414141414141414,0.0,0.5872615238845953,-0.5351010101010101,0.2598484848484849,0.0,0.24952274800440297,0.19595959595959597,0.0,0.0,1.8536817750494677e-08,-0.6727272727272728,-0.2833333333333333,-0.2510891557961888
6,20262104|20262109|20262104|20262105|20262104|20262104|20262109|20262102|20262101|20262109,20262101|20262101|20262101|20262102|20262102,0.6545454545454545,0.0,0.5995199638311324,-0.5598484848484848,0.2590909090909091,0.0,0.24825543645855577,0.1810606060606061,0.0,0.0,5.8232399523701816e-08,-0.6181818181818182,-0.3166666666666667,-0.278229601270921
7,20262105|20262103|20262101|20262105|20262101|20262109|20262109|20262104|20262103|20262105,20262101|20262101|20262101|20262102|20262103,0.6503030303030303,0.0,0.5992528455003426,-0.5378787878787878,0.24227272727272728,0.0,0.23230771263453492,0.19984848484848486,0.0,0.0,5.062740862501099e-08,-0.6412121212121211,-0.3,-0.2707834194368748
8,20262102|20262105|20262110|20262104|20262107|20262101|20262101|20262104|20262102|20262110,20262101|20262101|20262101|20262102|20262104,0.6161616161616161,0.02,0.5658724089455236,-0.5168686868686868,0.23287878787878785,0.02,0.22509028282797283,0.21025252525252527,-0.02,0.02,-0.017652313752214824,-0.6090909090909091,-0.3242424242424243,-0.28377605611274637
9,20262103|20262105|20262103|20262104|20262104|20262110|20262110|20262108|20262107|20262108,20262101|20262101|20262101|20262102|20262105,0.5967676767676767,0.02,0.5530806953882916,-0.4926262626262627,0.20924242424242423,0.02,0.20292331356208293,0.21994949494949495,-0.02,0.02,-0.01765231854695297,-0.6078787878787879,-0.3,-0.2628479253357795
